,白话文,文言文
0,什么是诸佛的色身光明？,云何是诸佛身光？
1,对禅定也不再造成障碍，能顺利的住坐正定。,妨障不生定道可克。
2,以致比原始时代更为丰实，比伏羲、神农之业更加显赫，目的是以此来抚养黎民百姓，而不去争夺疆土。,若乃敦庞于天地之始，昭晰于牺农之世，用长黎元，未争疆埸。
3,第一，内史御正，职责在于辅佐谐和，都必须参与朝政，共同治理天下。,一曰：内史御正，职在弼谐，皆须参议，共治天下。
4,漫步于菜园之中，游玩于林木之间。,蹰躇畦苑，游戏平林。
5,荀子回答说：“这大概不是周公的行为，也不是孔子所说的话。,应之曰：“是殆非周公之行，非孔子之言也。
6,甚而至于还会船毁沉没，落水而死，,有时船坏没水而死。
7,刁协年老，经不住骑马跋涉，平素对下人没有恩情，那些招募来的随从人员，也都离开他而去。,协年老，不堪骑乘，素无恩纪，募从者，皆委之行。
8,第二年，命他率部队随大将军冯胜北征。,明年命师所部随大将军冯胜北征。
9,简明易于理解却又精致有条理的吧？,简然易知，而致有理者欤？
10,初九，赵鼎多次请求，张浚母亲年岁已高，改为永州居住。,戊戌，赵鼎累请浚母老，改永州居住。
11,况且内廷的借口，与外廷的投机者，互相支持。,况内廷之借端，与外廷之投合，互相扶同。
12,古代王侯，不临臣家，天子出游四方，则避开正殿北面而坐，听从前人遗留的方略，用作长久的典范。,古之侯服，不幸臣家，天子宣游，则避宫北面，闻诸遗策，用为恒范。
13,此经的名叫做净诸漏之法，你们听后要善思念它。”,此经名为净诸漏法，汝等善思念之。”
14,又常常呆在宫内，很少会见公卿。,又常居内，少见公卿。
15,在明确的修悟中，得到虚空般澄明的心性。,于明悟中，得虚明性。
16,第二年返回蜀地。,明年，还蜀。
17,人类共处，具有共同的需求而满足需求的方法不一样，具有共同的欲望而实现欲望的智慧却不一样，这是人的本性。,人伦并处，同求而异道，同欲而异知，生也。
18,地狱中罪报，情形是怎样的呢？,地狱罪报，宜事云何？
19,如果居上位的人享受欢乐，下面的人却因为费用而伤心，这就是独自享乐，不能这样做。”,今上乐其乐，下伤其费，是独乐者也，不可。”
20,承畴来了以后，嗣昌到郊外慰劳，又命令他觐见皇上，传庭对此不能不感到失望。,承畴至，郊劳，且命陛见，传庭不能无觖望。
21,所以运行于天体中央，而监临控制四方，用以建立四时，并均衡五行。,故运乎天中，而临制四方，以建四时，而均五行也。
22,越王勾践采用子贡的计谋，就率领他的部队来帮助吴国，并将贵重宝物进献给太宰伯嚭。,越王勾践用子贡之谋，乃率其众以助吴，而重宝以献遗太宰嚭。
23,为甚么呢？,“所以者何？
24,如其余的沙门、婆罗门食他人的信施，,如余沙门婆罗门食他信施。
25,求日、月昏明时所在度：推算日昏明度用纪法，推算月昏明度用月周，乘以最靠近的那个节气的夜漏，除以二百，所得分别为曰、月的明分。,求日月昏明度，日以纪法，月以月周，乘所近节气夜漏，二百而一为明分。
