白话文,文言文,文言文_较差
吴溥回头对吴与弼说道“：,溥顾与弼曰：,溥看与弼说：
如果冒犯了他的意思，当即辱骂，以盛气凌压对方。,迕意即侮谇，以气凌之，直出其上。,迕意即为侮辱，用气势压人，直接高出他一头。
该菩萨于一切悉皆舍离，心无贪着。,是菩萨一切悉舍心无贪著。,菩萨全部舍了，心没有贪著。
“后三月至九月，不要吃羊肉，你能得坐兵部员外郎职位，又有知制诰的官衔。”,“后三月至九月，勿食羊肉，当得兵部员外郎，知制诰。”,三月到九月之间，不要吃羊肉，可以当兵部员外郎，管写诏书。
王旭入仕即任鸿州参军，转任兖州兵曹。,旭解褐鸿州参军，转兖州兵曹。,旭穿官服做了鸿州参军，然后转到兖州做了兵曹。
高允进来跪着上前哭着说：“我不敢多说，怕有劳皇上圣听。,允进跪上前，涕泣曰：“臣不敢多言，以劳神听，,"允进跪上前，哭着说：“我不敢多话，不要麻烦你听。"""
而久住于世间。,久住世间。,久住在世间。
文殊师利又秉告佛说：,文殊师利复白佛言。,文殊师利又跟佛说。
十月，李克用在白龙潭与罗弘信作战，打败罗弘信。,十月，李克用及罗弘信战于白龙潭，败之。,十月，李克用跟罗弘信在白龙潭打交手战，打赢了他。
地藏说：圣母。,地藏白言。圣母。,地藏说。圣母。
后者获得的福报，,其福胜彼。,他的福气比那边好胜。
一次，这个年轻和尚外出乞食，有一位少妇贪恋和尚的容貌，目不转睛地看着这个和尚。,彼年少比丘，乞食未还，有一少妇，惑着是色，看此比丘，眼不舍离。,那年青和尚，讨饭未回，有个小妇人，迷恋他模样，看这和尚，眼睛一直没离开。
这种菩萨修行的类型，叫做“先修静虑，中修止定，后修观慧”。,此菩萨者，名先修禅那，中修奢摩他，后修三摩钵提。,此菩萨，先前修禅那，中间修奢摩他，后面修三摩钵提。
勤勉的文王，他的美名永不泯灭！”,穆穆文王，令问不已！”,文王威仪，名声不断！
这种人是大刑所施加的对象，耻辱还有比这更大的吗？,是大刑之所加也，辱孰大焉？,是大刑加也，辱更大焉？
恰好伏爱私离所守，高丽兵从城缺处出来，占有了土山并将它堑断，聚火围盾固守。,伏爱私去所部，虏兵得自颓城出，据而堑断之，积火萦盾固守。,伏爱私自离开部队，虏兵能够从颓城出来，占据然后挖沟断绝，积火围着盾牌固守。
“我现在内心生念如是之事：,“我今心中生念：,我心今生一念：
墨子说：仁者为天下人做谋划，和孝子为双亲做打算没什么区别。,子墨子言曰：仁者之为天下度也，辟之无以异乎孝子之为亲度也。,子墨子说道：仁者为天下考虑，就像孝子为亲人考虑，没啥两样。
绍兴七年三月，陈与义随皇帝到建康。,三月，从帝如建康。,三月，跟皇帝去了建康。
杨亮节等人于是背着王徒步隐藏山中七天，其将张全率兵数十人才追上，于是一同到温州，陆秀夫、苏刘义相继在途中赶上。,亮节等遂负王徒步匿山中七日，其将张全以兵数十人始追及之，遂同走温州，陆秀夫、苏刘义继追及于道。,亮节等人就背着王徒步躲到山里七天，他们那个将张全带了几十个人开始追上他们，然后一起跑到温州，陆秀夫、苏刘义在路上又追到了他们。
所以大海不拒纳东来的水流，因而能极为博大。,故海不辞东流，大之至也。,海不拒东流，是为大也。
这是因为一切的佛，都是尊重佛法的缘故。,以诸如来尊重法故。,诸如来尊重法故以。
由于有了甚么之故，才会有了甚么之生起？,何所有故。何所起。,有什么旧的。从哪里来的。
这菩萨如果勤奋修行精进，在一念的顷刻间得到百千亿禅定三昧，乃至显示变现百千亿菩萨成为他的眷属。,此菩萨若勤行精进，于一念顷得百千亿三昧，乃至示现百千亿菩萨以为眷属。,此菩萨若努力修行，于一念间得百千亿三昧，甚至示现百千亿菩萨作眷属。
造就是表现在天时上。,斯则表乎天时也。,此乃表示天时矣。
菩萨安住在这个第九地时，不管白天或晚上，都一心精勤修行，没有别的杂念；因为他一心只想证入佛陀的境界亲近如来，证入诸菩萨甚深的解脱境界，希望常在三昧之中见到诸佛，未曾一刻舍离。,菩萨住此笫九地，昼夜专勤更无余念，唯入佛境界亲近如来，入诸菩萨甚深解脱，常在三昧，恒见诸佛，未曾舍离。,菩萨住第九地，日夜努力，无其他念头，只进入佛的境界，靠近如来，进入菩萨的深解脱，常常在三昧，总是见佛，不曾离开。
八年六月，八郡国发大水。,八月六月，郡国八大水。,八月六月，地方八大水泛滥。
太祖对群臣说：,太祖谕群臣曰：,太祖叫群臣来说：
要是有人问他为什么这样，慧能就答：,或问，则对曰：,有人问，则答曰：
何曾又引经据典，言辞说理很是激切。,曾重引据，辞理甚切。,曾多引据，话理很切。
现在到底有那一位能说戒律呢？,今当为谁而说戒律？,今日为谁说个戒律？
另一说法是：“有大臣被斩杀。”,一曰：“有斩臣。”,一日：「有砍头的臣子。」
陈与郊不久因家人去世离职。,与郊寻以忧去。,与郊寻因为忧愁而离开。
虽然历经百千劫数，依然互相缠缚难舍。,以是因缘，经百千劫常在缠缚。,因为这个原因，经过百千劫，经常在缠缚中。
他开始筑城墙，设计经过的地方，都被豪门和大商人占据着，他下命令他们在各人地盘上自己修筑，官吏规定城墙尺寸，对他们说：“谁不按规定，给我重筑！”,立言始筑城郭，地所当者，皆富豪大贾所占，下令使自筑其处，吏籍其阔狭，号于众曰：“有不如约，为我更完！”,立言始筑城郭，那地所当位置，都是富豪大贾占着。下命令让他们自己修好那地方，官吏记录大小，然后告诉大家：“如果不按约定做，就给我重新搞好！”
长孙无忌上奏“：天下的符节鱼契均随陛下来此，而宫官只有十人，会使天下以神器为轻。”,长孙无忌白奏：“天下符鱼悉从，而宫官止十人，天下以为轻神器。”,长孙无忌上奏说：“全国的符鱼都听从，但是宫里只有十个人，大家觉得这是轻视神器。”
张定独自走了一百多步，有一个道士走得很急。那个道士回头看见了他，就站住对他说：,独行百余步，有一道士行甚急，顾见之，立而言曰：,独走一百步，遇一道士走得很快，看见我，停下来说话道：
十九日，撰修《太祖实录》。,己未，修《太祖实录》。,己未，编《太祖实录》了。
齐王派车五十辆来向楚国索取东地。,齐使车五十乘，来取东地于楚。,齐国派了五十辆车，来楚国这里拿东地。
盗贼必须揭发收捕，所以着《网》《捕》二篇。,盗贼须劾捕，故著《网捕》二篇。,捕贼要捉，因此写了《网捕》两篇。
北海神说：“从小的角度看待大的事物，总看不到全貌；从大的角度看待小的事物，总看不分明。,北海若曰：“夫自细视大者不尽，自大视细者不明。,"北海若曰：“从小看大，看不全；从大看小，看不清。"""
